Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather,Weather_Desc,TimeStamp,Date,Traffic_Vol
,279.85,0,0,75,Cloudy skies,Fragmented clouds,05-10-2015 21:00,05-10-2015,4290.52
,279.42,0,0,40,Cloudy skies,Partly cloudy skies,05-10-2015 22:00,05-10-2015,3609.32
,279.56,0,0,40,Cloudy skies,Partly cloudy skies,05-10-2015 23:00,05-10-2015,2807.22
,279.11,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 0:00,06-10-2015,2031.12
,279.05,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 1:00,06-10-2015,1356.42
,278.69,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 2:00,06-10-2015,1131.52
,277.89,0,0,76,Cloudy skies,Fragmented clouds,06-10-2015 4:00,06-10-2015,956.02
,276.65,0,0,20,Cloudy skies,Scattered clouds,06-10-2015 5:00,06-10-2015,1313.52
,276,0,0,2,Clear skies,Clear skies,06-10-2015 6:00,06-10-2015,2187.12
,275.87,0,0,1,Clear skies,Clear skies,06-10-2015 7:00,06-10-2015,3120.52
,275.59,0,0,2,Clear skies,Clear skies,06-10-2015 8:00,06-10-2015,4763.72
,275.49,0,0,41,Cloudy skies,Partly cloudy skies,06-10-2015 9:00,06-10-2015,5955.82
,277.38,0,0,20,Cloudy skies,Scattered clouds,06-10-2015 10:00,06-10-2015,6743.62
,278.84,0,0,20,Cloudy skies,Scattered clouds,06-10-2015 11:00,06-10-2015,7172.62
,279.98,0,0,41,Cloudy skies,Partly cloudy skies,06-10-2015 12:00,06-10-2015,7794.02
,280.82,0,0,75,Cloudy skies,Fragmented clouds,06-10-2015 13:00,06-10-2015,7016.62
,281.05,0,0,75,Cloudy skies,Fragmented clouds,06-10-2015 14:00,06-10-2015,6958.12
,280.4,0,0,75,Cloudy skies,Fragmented clouds,06-10-2015 15:00,06-10-2015,7119.32
,279.66,0,0,91,Cloudy skies,Full cloud cover,06-10-2015 16:00,06-10-2015,6960.72
,279.61,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 17:00,06-10-2015,6633.12
,279.09,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 18:00,06-10-2015,6101.42
,278.46,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 19:00,06-10-2015,5447.52
,279.16,0,0,91,Cloudy skies,Full cloud cover,06-10-2015 20:00,06-10-2015,4531.02
,278.13,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 21:00,06-10-2015,4316.52
,277.3,0,0,90,Cloudy skies,Full cloud cover,06-10-2015 22:00,06-10-2015,4583.02
,276.74,0,0,75,Cloudy skies,Fragmented clouds,06-10-2015 23:00,06-10-2015,2950.22
,277.11,0,0,75,Cloudy skies,Fragmented clouds,07-10-2015 0:00,07-10-2015,2023.32
,276.03,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 3:00,07-10-2015,840.32
,276.05,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 4:00,07-10-2015,831.22
,275.81,0,0,75,Cloudy skies,Fragmented clouds,07-10-2015 5:00,07-10-2015,1245.92
,275.15,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 6:00,07-10-2015,2388.62
,275.27,0,0,91,Cloudy skies,Full cloud cover,07-10-2015 7:00,07-10-2015,2423.72
,275.77,0,0,75,Cloudy skies,Fragmented clouds,07-10-2015 8:00,07-10-2015,3327.22
,275.95,0,0,75,Cloudy skies,Fragmented clouds,07-10-2015 9:00,07-10-2015,6367.92
,277.14,0,0,75,Cloudy skies,Fragmented clouds,07-10-2015 10:00,07-10-2015,6442.02
,277.41,0,0,91,Cloudy skies,Full cloud cover,07-10-2015 11:00,07-10-2015,6318.52
,277.53,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 12:00,07-10-2015,7107.62
,278.65,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 13:00,07-10-2015,9055.02
,279.57,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 14:00,07-10-2015,8990.02
,279.57,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 15:00,07-10-2015,6184.62
,279.64,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 16:00,07-10-2015,6052.02
,280.22,0,0,91,Cloudy skies,Full cloud cover,07-10-2015 17:00,07-10-2015,5413.72
,279.37,0,0,91,Cloudy skies,Full cloud cover,07-10-2015 18:00,07-10-2015,5642.52
,278.81,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 19:00,07-10-2015,4819.62
,277.69,0,0,76,Cloudy skies,Fragmented clouds,07-10-2015 20:00,07-10-2015,4078.62
,275.93,0,0,90,Cloudy skies,Full cloud cover,07-10-2015 21:00,07-10-2015,3172.52
,275.58,0,0,75,Cloudy skies,Fragmented clouds,07-10-2015 22:00,07-10-2015,2441.92
,274.82,0,0,21,Cloudy skies,Scattered clouds,07-10-2015 23:00,07-10-2015,1673.62
1,274.08,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 0:00,08-10-2015,1018.42
,273.62,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 1:00,08-10-2015,859.82
,272.68,0,0,1,Clear skies,Clear skies,08-10-2015 2:00,08-10-2015,763.62
,271.65,0,0,2,Clear skies,Clear skies,08-10-2015 3:00,08-10-2015,828.62
,271.53,0,0,1,Clear skies,Clear skies,08-10-2015 4:00,08-10-2015,1442.22
,270.53,0,0,1,Clear skies,Clear skies,08-10-2015 5:00,08-10-2015,3762.72
,270.61,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 6:00,08-10-2015,7662.72
,270.11,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 7:00,08-10-2015,9105.72
,271.93,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 8:00,08-10-2015,8178.82
,274.21,0,0,21,Cloudy skies,Scattered clouds,08-10-2015 9:00,08-10-2015,6705.92
,276.97,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 10:00,08-10-2015,6144.32
,280.27,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 11:00,08-10-2015,6163.82
,280.14,0,0,1,Clear skies,Clear skies,08-10-2015 12:00,08-10-2015,6466.72
,282.94,0,0,40,Cloudy skies,Partly cloudy skies,08-10-2015 13:00,08-10-2015,6410.82
,283.14,0,0,40,Cloudy skies,Partly cloudy skies,08-10-2015 14:00,08-10-2015,7084.22
,283.88,0,0,1,Clear skies,Clear skies,08-10-2015 15:00,08-10-2015,7573.02
,284.73,0,0,1,Clear skies,Clear skies,08-10-2015 16:00,08-10-2015,8199.62
,285.28,0,0,40,Cloudy skies,Partly cloudy skies,08-10-2015 17:00,08-10-2015,7788.82
,285.03,0,0,40,Cloudy skies,Partly cloudy skies,08-10-2015 18:00,08-10-2015,5959.72
,282.99,0,0,20,Cloudy skies,Scattered clouds,08-10-2015 19:00,08-10-2015,4417.92
,280.81,0,0,2,Clear skies,Clear skies,08-10-2015 20:00,08-10-2015,3515.72
,279.45,0,0,2,Clear skies,Clear skies,08-10-2015 21:00,08-10-2015,3063.32
,279,0,0,1,Clear skies,Clear skies,08-10-2015 22:00,08-10-2015,2244.32
,279.26,0,0,2,Clear skies,Clear skies,08-10-2015 23:00,08-10-2015,1613.82
,278.48,0,0,2,Clear skies,Clear skies,09-10-2015 0:00,09-10-2015,1100.32
,277.87,0,0,1,Clear skies,Clear skies,09-10-2015 1:00,09-10-2015,818.22
,278.47,0,0,1,Clear skies,Clear skies,09-10-2015 2:00,09-10-2015,746.72
,277.37,0,0,21,Cloudy skies,Scattered clouds,09-10-2015 4:00,09-10-2015,1461.72
,277.52,0,0,40,Cloudy skies,Partly cloudy skies,09-10-2015 5:00,09-10-2015,3904.42
,277.5,0,0,41,Cloudy skies,Partly cloudy skies,09-10-2015 6:00,09-10-2015,7873.32
,278.31,0,0,75,Cloudy skies,Fragmented clouds,09-10-2015 7:00,09-10-2015,8813.22
,279.08,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 8:00,09-10-2015,7914.92
,279.85,0,0,91,Cloudy skies,Full cloud cover,09-10-2015 9:00,09-10-2015,7706.92
,281.47,0,0,91,Cloudy skies,Full cloud cover,09-10-2015 10:00,09-10-2015,6322.42
,283.21,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 11:00,09-10-2015,6523.92
,284.78,0,0,76,Cloudy skies,Fragmented clouds,09-10-2015 12:00,09-10-2015,7012.72
,285.74,0,0,76,Cloudy skies,Fragmented clouds,09-10-2015 13:00,09-10-2015,6958.12
,286.65,0,0,91,Cloudy skies,Full cloud cover,09-10-2015 14:00,09-10-2015,7313.02
,287.93,0,0,100,Rainfall,Soft rain,09-10-2015 15:00,09-10-2015,7930.52
,289.03,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 16:00,09-10-2015,8681.92
,290.87,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 17:00,09-10-2015,8392.02
,290.23,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 18:00,09-10-2015,6226.22
,289.46,0,0,75,Cloudy skies,Fragmented clouds,09-10-2015 19:00,09-10-2015,4871.62
,287.96,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 20:00,09-10-2015,4031.82
,286.11,0,0,91,Cloudy skies,Full cloud cover,09-10-2015 21:00,09-10-2015,3419.52
,283.56,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 22:00,09-10-2015,2825.42
,283.45,0,0,90,Cloudy skies,Full cloud cover,09-10-2015 23:00,09-10-2015,1659.32
,282.08,0,0,90,Cloudy skies,Full cloud cover,10-10-2015 0:00,10-10-2015,1063.92
,282.28,0,0,91,Cloudy skies,Full cloud cover,10-10-2015 1:00,10-10-2015,859.82
,281.39,0,0,75,Cloudy skies,Fragmented clouds,10-10-2015 2:00,10-10-2015,762.32
,282.17,0,0,90,Cloudy skies,Full cloud cover,10-10-2015 3:00,10-10-2015,894.92
,281.65,0,0,92,Clear skies,Clear skies,10-10-2015 6:00,10-10-2015,8056.62
,281.65,0,0,99,Rainfall,Soft rain,10-10-2015 7:00,10-10-2015,9259.12
,281.1,0,0,99,Rainfall,Soft rain,10-10-2015 8:00,10-10-2015,8594.82
,279.71,0,0,99,Rainfall,Soft rain,10-10-2015 9:00,10-10-2015,7808.32
,280.17,0,0,99,Clear skies,Clear skies,10-10-2015 10:00,10-10-2015,6447.22
,280.99,0,0,2,Clear skies,Clear skies,10-10-2015 11:00,10-10-2015,6780.02
,282.49,0,0,76,Cloudy skies,Fragmented clouds,10-10-2015 12:00,10-10-2015,6964.62
,283.16,0,0,75,Cloudy skies,Fragmented clouds,10-10-2015 13:00,10-10-2015,7015.32
,282.65,0,0,90,Cloudy skies,Full cloud cover,10-10-2015 14:00,10-10-2015,7220.72
,282.29,0,0,90,Cloudy skies,Full cloud cover,10-10-2015 15:00,10-10-2015,7722.52
,282.03,0,0,82,Clear skies,Clear skies,10-10-2015 16:00,10-10-2015,8602.62
,283.3,0,0,81,Clear skies,Clear skies,10-10-2015 18:00,10-10-2015,6633.12
,282.7,0,0,81,Clear skies,Clear skies,10-10-2015 19:00,10-10-2015,4770.22
,282.7,0,0,81,Clear skies,Clear skies,10-10-2015 20:00,10-10-2015,4338.62
,283.6,0,0,81,Clear skies,Clear skies,10-10-2015 21:00,10-10-2015,3808.22
,283.6,0,0,81,Clear skies,Clear skies,10-10-2015 22:00,10-10-2015,2913.82
,282.7,0,0,82,Clear skies,Clear skies,10-10-2015 23:00,10-10-2015,1771.12
,274.2,0,0,1,Clear skies,Clear skies,11-10-2015 1:00,11-10-2015,872.82
,275,0,0,76,Cloudy skies,Fragmented clouds,11-10-2015 3:00,11-10-2015,884.52
,274.95,0,0,76,Cloudy skies,Fragmented clouds,11-10-2015 4:00,11-10-2015,1524.12
,274.11,0,0,40,Cloudy skies,Partly cloudy skies,11-10-2015 5:00,11-10-2015,4052.62
,273.56,0,0,1,Clear skies,Clear skies,11-10-2015 6:00,11-10-2015,7973.42
,273.65,0,0,2,Clear skies,Clear skies,11-10-2015 7:00,11-10-2015,9266.92
,272.72,0,0,2,Clear skies,Clear skies,11-10-2015 8:00,11-10-2015,8622.12
,276.19,0,0,20,Cloudy skies,Scattered clouds,11-10-2015 9:00,11-10-2015,7309.12
,275.64,0,0,2,Clear skies,Clear skies,11-10-2015 10:00,11-10-2015,6448.52
,284.2,0,0,51,Clear skies,Clear skies,11-10-2015 14:00,11-10-2015,7643.22
,284.8,0,0,50,Clear skies,Clear skies,11-10-2015 15:00,11-10-2015,7986.42
,283.98,0,0,75,Cloudy skies,Fragmented clouds,11-10-2015 16:00,11-10-2015,8574.02
,283.62,0,0,75,Cloudy skies,Fragmented clouds,11-10-2015 17:00,11-10-2015,8151.52
,284.32,0,0,90,Cloudy skies,Full cloud cover,11-10-2015 18:00,11-10-2015,6860.62
,282.26,0,0,90,Cloudy skies,Full cloud cover,11-10-2015 19:00,11-10-2015,4984.72
,282.15,0,0,90,Cloudy skies,Full cloud cover,11-10-2015 20:00,11-10-2015,4377.62
,282.01,0,0,90,Cloudy skies,Full cloud cover,11-10-2015 21:00,11-10-2015,3908.32
,282.46,0,0,90,Cloudy skies,Full cloud cover,11-10-2015 22:00,11-10-2015,3141.32
,283.43,0,0,90,Cloudy skies,Full cloud cover,11-10-2015 23:00,11-10-2015,2094.82
,284.81,0,0,90,Cloudy skies,Full cloud cover,12-10-2015 0:00,12-10-2015,1244.62
,284.84,0,0,91,Cloudy skies,Full cloud cover,12-10-2015 1:00,12-10-2015,963.82
,285.11,0,0,90,Cloudy skies,Full cloud cover,12-10-2015 2:00,12-10-2015,855.92
,283.98,0,0,72,Light rain,Mild drizzle,12-10-2015 3:00,12-10-2015,911.82
,283.16,0,0,72,Rainfall,Soft rain,12-10-2015 4:00,12-10-2015,1382.42
,281.17,0,0,72,Light rain,Mild drizzle,12-10-2015 5:00,12-10-2015,3757.52
,278.83,0,0,75,Cloudy skies,Fragmented clouds,12-10-2015 6:00,12-10-2015,7682.22
,278.34,0,0,76,Cloudy skies,Fragmented clouds,12-10-2015 7:00,12-10-2015,9515.22
,278.7,0,0,90,Cloudy skies,Full cloud cover,12-10-2015 8:00,12-10-2015,8042.32
,278.28,0,0,91,Cloudy skies,Full cloud cover,12-10-2015 9:00,12-10-2015,7220.72
,279.79,0,0,75,Cloudy skies,Fragmented clouds,12-10-2015 10:00,12-10-2015,6746.22
,280.55,0,0,75,Cloudy skies,Fragmented clouds,12-10-2015 11:00,12-10-2015,7115.42
,281.35,0,0,40,Cloudy skies,Partly cloudy skies,12-10-2015 12:00,12-10-2015,7605.52
,282.34,0,0,40,Cloudy skies,Partly cloudy skies,12-10-2015 13:00,12-10-2015,7417.02
,281.94,0,0,75,Cloudy skies,Fragmented clouds,12-10-2015 14:00,12-10-2015,7912.32
,282.55,0,0,76,Cloudy skies,Fragmented clouds,12-10-2015 15:00,12-10-2015,8074.82
,282.3,0,0,76,Cloudy skies,Fragmented clouds,12-10-2015 16:00,12-10-2015,8297.12
,281.74,0,0,41,Cloudy skies,Partly cloudy skies,12-10-2015 17:00,12-10-2015,8263.32
,280.71,0,0,20,Cloudy skies,Scattered clouds,12-10-2015 18:00,12-10-2015,7263.62
,283.1,0,0,56,Clear skies,Clear skies,12-10-2015 23:00,12-10-2015,2895.62
,272.68,0,0,1,Clear skies,Clear skies,13-10-2015 00:00,13-10-2015,2159.82
,272.76,0,0,1,Clear skies,Clear skies,13-10-2015 01:00,13-10-2015,1424.02
,271.99,0,0,1,Clear skies,Clear skies,13-10-2015 02:00,13-10-2015,1166.62
,271.29,0,0,21,Cloudy skies,Scattered clouds,13-10-2015 03:00,13-10-2015,962.52
,270.28,0,0,1,Clear skies,Clear skies,13-10-2015 04:00,13-10-2015,941.72
,269.37,0,0,1,Clear skies,Clear skies,13-10-2015 05:00,13-10-2015,1381.12
,269.71,0,0,1,Clear skies,Clear skies,13-10-2015 06:00,13-10-2015,2270.32
,269.18,0,0,75,Cloudy skies,Fragmented clouds,13-10-2015 07:00,13-10-2015,3309.02
,269.43,0,0,40,Cloudy skies,Partly cloudy skies,13-10-2015 08:00,13-10-2015,4952.22
,273.31,0,0,40,Cloudy skies,Partly cloudy skies,13-10-2015 09:00,13-10-2015,6328.92
,277.18,0,0,21,Cloudy skies,Scattered clouds,13-10-2015 10:00,13-10-2015,6374.42
,279.72,0,0,1,Clear skies,Clear skies,13-10-2015 11:00,13-10-2015,6192.42
,281.35,0,0,1,Clear skies,Clear skies,13-10-2015 12:00,13-10-2015,6439.42
,282.11,0,0,1,Clear skies,Clear skies,13-10-2015 13:00,13-10-2015,6201.52
,283.95,0,0,1,Clear skies,Clear skies,13-10-2015 14:00,13-10-2015,6270.42
,284.56,0,0,1,Clear skies,Clear skies,13-10-2015 15:00,13-10-2015,6249.62
,284.93,0,0,1,Clear skies,Clear skies,13-10-2015 16:00,13-10-2015,6397.82
,284.94,0,0,1,Clear skies,Clear skies,13-10-2015 17:00,13-10-2015,6245.72
,283.74,0,0,2,Clear skies,Clear skies,13-10-2015 18:00,13-10-2015,5918.12
,282.65,0,0,20,Cloudy skies,Scattered clouds,13-10-2015 19:00,13-10-2015,5194.02
,282.28,0,0,2,Clear skies,Clear skies,13-10-2015 20:00,13-10-2015,4350.32
,282.44,0,0,75,Cloudy skies,Fragmented clouds,13-10-2015 21:00,13-10-2015,4026.62
,282.73,0,0,90,Cloudy skies,Full cloud cover,13-10-2015 22:00,13-10-2015,4165.72
,283.08,0,0,90,Cloudy skies,Full cloud cover,13-10-2015 23:00,13-10-2015,2937.22
,283.29,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 00:00,14-10-2015,2129.92
,283.04,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 01:00,14-10-2015,1560.52
,283.28,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 02:00,14-10-2015,1271.92
,282.33,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 03:00,14-10-2015,896.22
,283.08,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 04:00,14-10-2015,770.12
,283.03,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 05:00,14-10-2015,1083.42
,283.04,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 06:00,14-10-2015,1543.62
,282.54,0,0,90,Cloudy skies,Full cloud cover,14-10-2015 07:00,14-10-2015,1902.42
,282.74,0,0,58,Light fog,Fine fog,14-10-2015 08:00,14-10-2015,2755.22
,282.93,0,0,57,Light rain,Mild drizzle,14-10-2015 09:00,14-10-2015,3917.42
,282.93,0,0,58,Light rain,Mild drizzle,14-10-2015 10:00,14-10-2015,4804.02
,283.12,0,0,58,Light rain,Mild drizzle,14-10-2015 11:00,14-10-2015,5179.72
,284.33,0,0,58,Light fog,Fine fog,14-10-2015 12:00,14-10-2015,5717.92
,284.05,0,0,93,Rainfall,Soft rain,14-10-2015 13:00,14-10-2015,5794.62
,284.99,0,0,93,Light fog,Fine fog,14-10-2015 14:00,14-10-2015,6092.32
,285.55,0,0,93,Light fog,Fine fog,14-10-2015 15:00,14-10-2015,6074.12
,284.98,0,0,93,Light fog,Fine fog,14-10-2015 16:00,14-10-2015,5931.12
,284.74,0,0,93,Rainfall,Soft rain,14-10-2015 17:00,14-10-2015,5977.92
,285.2,0,0,93,Light fog,Fine fog,14-10-2015 18:00,14-10-2015,5730.92
,284.27,0,0,93,Light fog,Fine fog,14-10-2015 19:00,14-10-2015,4917.12
,284.43,0,0,93,Light fog,Fine fog,14-10-2015 20:00,14-10-2015,3964.22
,284.38,0,0,93,Light fog,Fine fog,14-10-2015 21:00,14-10-2015,3600.22
,283.84,0,0,94,Light fog,Fine fog,14-10-2015 22:00,14-10-2015,2785.12
,282.35,0,0,93,Light fog,Fine fog,14-10-2015 23:00,14-10-2015,1728.22
,282.11,0,0,93,Light fog,Fine fog,15-10-2015 00:00,15-10-2015,1135.42
,282.07,0,0,85,Dense fog,Dense fog,15-10-2015 01:00,15-10-2015,823.42
,282.32,0,0,85,Dense fog,Dense fog,15-10-2015 02:00,15-10-2015,736.32
,281.99,0,0,85,Light fog,Fine fog,15-10-2015 03:00,15-10-2015,862.42
